Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Logical quotient rating,coding skills rating,can work long time before system?,self-learning capability?,Interested subjects,Type of company want to settle in?,Management or Technical,Suggested Job Role
88,77,78,70,65,62,69,7,3,no,no,parallel computing,Service Based,Technical,E-Commerce Analyst
61,74,75,83,67,86,76,6,8,yes,no,cloud computing,Product based,Management,Network Security Engineer
80,85,69,70,79,78,81,7,2,no,no,programming,Service Based,Management,Business Intelligence Analyst
73,65,74,87,62,86,92,8,3,no,no,cloud computing,Finance,Technical,Software Quality Assurance (QA) / Testing
73,87,92,71,92,80,87,5,9,no,no,networks,BPA,Management,Data Architect
94,90,82,92,67,82,62,7,2,no,yes,networks,Product based,Management,Technical Support
79,85,64,81,60,61,87,2,6,no,yes,hacking,Service Based,Technical,E-Commerce Analyst
87,83,93,60,66,75,87,6,8,no,no,data engineering,product development,Management,Software Engineer
82,62,83,66,71,65,91,8,3,no,yes,data engineering,Finance,Management,Portal Administrator
64,89,81,91,86,88,91,6,7,yes,yes,networks,BPA,Technical,Software Engineer
89,84,94,60,72,73,61,9,9,no,no,hacking,Testing and Maintainance Services,Management,Software Systems Engineer
68,91,65,75,74,80,76,1,8,yes,no,cloud computing,Product based,Technical,CRM Technical Developer
88,79,87,94,81,89,75,7,8,no,yes,Management,Web Services,Technical,Information Security Analyst
65,83,76,77,61,75,83,3,3,no,no,programming,Testing and Maintainance Services,Technical,Technical Support
83,85,74,86,91,61,83,4,9,no,yes,programming,Finance,Management,Network Security Administrator
79,87,64,61,73,63,74,1,6,yes,no,networks,Sales and Marketing,Technical,Business Systems Analyst
64,90,91,82,78,79,88,9,7,no,no,programming,Web Services,Management,Data Architect
81,77,87,75,79,77,71,7,9,yes,yes,networks,product development,Management,Design & UX
83,66,77,74,67,91,86,5,4,no,yes,Software Engineering,product development,Technical,Software Systems Engineer
63,88,90,75,63,94,70,1,4,yes,yes,Computer Architecture,SAaS services,Technical,Information Technology Auditor
83,75,83,92,92,84,72,6,4,no,yes,parallel computing,SAaS services,Technical,Network Security Engineer
92,80,73,88,86,79,64,7,2,yes,yes,cloud computing,Cloud Services,Management,UX Designer
89,80,81,69,88,78,83,6,5,yes,yes,Management,Testing and Maintainance Services,Technical,Quality Assurance Associate
90,92,84,86,66,93,79,8,8,yes,yes,Management,Product based,Management,Network Security Administrator
75,80,86,60,85,67,71,5,3,yes,no,cloud computing,Service Based,Technical,Information Technology Manager
87,84,70,81,66,78,75,2,4,yes,yes,Management,Product based,Management,Information Technology Manager
81,83,81,86,60,61,60,3,9,yes,no,networks,Sales and Marketing,Technical,Database Administrator
84,81,88,91,91,90,74,8,7,no,yes,data engineering,Testing and Maintainance Services,Technical,Technical Engineer
78,73,71,84,62,79,76,1,1,no,no,IOT,product development,Technical,Data Architect
67,89,73,67,87,72,64,7,8,yes,no,hacking,Product based,Technical,Technical Engineer
83,61,89,76,85,92,72,4,1,yes,no,networks,Product based,Management,Project Manager
82,66,94,63,71,71,87,5,2,no,yes,cloud computing,BPA,Management,Database Administrator
86,82,84,90,70,87,68,6,7,yes,no,Software Engineering,Testing and Maintainance Services,Management,Database Administrator
84,90,68,67,74,92,93,6,2,no,yes,IOT,Cloud Services,Management,Network Engineer
88,72,73,74,71,68,90,1,6,no,no,Computer Architecture,Product based,Management,E-Commerce Analyst
88,89,70,84,78,90,64,2,2,no,no,cloud computing,SAaS services,Management,Software Engineer
75,81,76,75,73,86,63,7,5,no,no,parallel computing,Web Services,Management,E-Commerce Analyst
85,73,60,64,61,64,62,9,9,yes,yes,Computer Architecture,Sales and Marketing,Management,Network Security Engineer
66,70,81,66,83,64,66,5,2,yes,yes,hacking,BPA,Management,Technical Support
78,78,64,88,73,64,73,1,4,yes,yes,data engineering,Web Services,Technical,Business Intelligence Analyst
93,65,60,69,73,73,67,4,6,no,no,Management,Sales and Marketing,Technical,Network Security Administrator
87,90,89,83,71,89,61,2,8,no,no,programming,BPA,Management,E-Commerce Analyst
89,90,89,63,64,84,66,6,5,no,no,Software Engineering,Web Services,Management,Software Quality Assurance (QA) / Testing
82,87,66,94,82,67,74,1,1,yes,yes,parallel computing,SAaS services,Technical,Technical Support
82,89,68,82,81,68,86,1,9,no,no,networks,Finance,Technical,Applications Developer
91,62,64,89,92,82,63,7,6,no,no,IOT,Finance,Technical,Technical Engineer
92,87,75,93,89,64,67,8,8,no,no,Management,BPA,Management,Database Developer
67,89,91,87,71,78,60,1,3,no,yes,Computer Architecture,product development,Technical,Data Architect
91,64,69,83,76,77,72,9,1,yes,yes,hacking,Web Services,Management,Information Technology Auditor
80,83,76,89,88,82,77,9,9,yes,no,data engineering,BPA,Management,Network Security Administrator
77,61,94,92,78,61,86,8,6,yes,no,IOT,Service Based,Management,Technical Services/Help Desk/Tech Support
62,90,79,72,67,87,76,1,5,yes,yes,IOT,Finance,Management,Programmer Analyst
83,78,75,60,68,82,67,7,1,yes,yes,programming,Cloud Services,Technical,Portal Administrator
69,75,74,61,61,63,91,2,5,yes,yes,hacking,Testing and Maintainance Services,Technical,Data Architect
71,84,88,85,77,84,74,4,1,yes,no,Management,Finance,Management,Network Security Administrator
91,68,64,67,78,74,80,7,8,yes,yes,programming,SAaS services,Management,Network Engineer
60,91,78,70,63,89,90,1,9,yes,yes,parallel computing,Service Based,Management,Software Developer
62,73,73,93,78,93,92,2,5,yes,no,parallel computing,Service Based,Management,Portal Administrator
91,86,77,87,81,92,80,8,3,yes,yes,networks,Service Based,Management,Software Engineer
89,72,69,65,91,83,73,9,2,yes,no,IOT,Finance,Technical,Technical Engineer
61,75,60,81,88,92,93,2,2,no,no,programming,BPA,Management,E-Commerce Analyst
93,61,65,85,88,63,60,2,8,yes,no,Management,Sales and Marketing,Technical,Information Technology Auditor
91,74,86,89,93,92,86,1,3,no,yes,cloud computing,Service Based,Management,CRM Technical Developer
82,79,92,94,64,90,87,3,9,no,no,cloud computing,Cloud Services,Technical,E-Commerce Analyst
88,62,69,70,62,77,72,3,2,yes,no,Computer Architecture,Cloud Services,Management,Solutions Architect
79,75,82,61,85,60,67,8,6,yes,no,hacking,SAaS services,Technical,Portal Administrator
62,64,93,89,69,78,73,5,2,no,no,cloud computing,Sales and Marketing,Technical,CRM Business Analyst
74,79,66,67,70,93,65,4,5,no,no,Computer Architecture,SAaS services,Technical,Network Security Engineer
68,91,94,76,90,83,73,9,5,yes,no,Computer Architecture,Web Services,Technical,Software Developer
88,70,88,85,88,60,92,8,8,no,no,hacking,Web Services,Management,Software Engineer
75,91,93,76,94,80,87,5,3,yes,yes,hacking,Web Services,Management,Systems Analyst
87,83,91,76,80,90,63,5,2,no,yes,Computer Architecture,Service Based,Technical,Web Developer
80,79,92,89,84,67,94,4,2,no,yes,Management,Testing and Maintainance Services,Technical,Database Manager
83,77,76,77,88,63,87,1,4,yes,yes,data engineering,Cloud Services,Technical,Solutions Architect
66,72,75,77,77,62,71,8,7,yes,yes,Computer Architecture,SAaS services,Technical,Network Security Engineer
84,74,61,78,91,89,81,3,8,no,no,Management,SAaS services,Technical,Data Architect
76,90,70,68,63,80,86,8,6,no,yes,Software Engineering,product development,Management,Technical Services/Help Desk/Tech Support
90,75,91,62,78,78,88,5,2,no,no,hacking,product development,Technical,Information Security Analyst
89,94,88,86,89,67,63,5,5,yes,no,Software Engineering,SAaS services,Technical,Programmer Analyst
94,91,72,90,94,72,91,9,8,no,yes,IOT,Product based,Technical,Technical Engineer
88,88,82,89,70,80,80,7,8,no,yes,data engineering,Cloud Services,Management,Applications Developer
71,61,64,77,91,68,90,4,9,no,no,Management,Web Services,Management,Software Quality Assurance (QA) / Testing
92,71,75,67,69,78,88,9,9,no,no,hacking,Product based,Management,Network Security Administrator
66,61,80,75,89,74,81,5,6,yes,no,Management,BPA,Management,Network Engineer
64,68,62,86,66,65,86,9,2,yes,yes,networks,Sales and Marketing,Management,Technical Engineer
67,84,66,94,62,77,62,4,1,no,yes,parallel computing,Product based,Management,Applications Developer
64,92,75,92,84,61,86,6,8,no,no,networks,product development,Management,Network Security Administrator
74,65,66,60,89,90,90,5,8,no,no,programming,Finance,Technical,Database Developer
82,67,86,82,61,76,75,2,8,yes,no,networks,Testing and Maintainance Services,Management,Information Technology Manager
67,91,86,64,62,82,65,5,8,yes,yes,Software Engineering,Service Based,Technical,UX Designer
89,60,86,87,87,69,70,2,8,no,yes,Computer Architecture,Cloud Services,Management,Technical Support
71,69,68,72,65,70,60,5,2,yes,no,Management,Product based,Management,Quality Assurance Associate
69,80,75,61,64,62,81,4,2,yes,yes,networks,SAaS services,Management,Network Engineer
77,79,91,80,87,64,70,3,4,no,yes,IOT,Web Services,Technical,Information Technology Manager
77,77,90,77,77,76,73,5,4,yes,yes,cloud computing,Testing and Maintainance Services,Management,Software Developer
87,70,68,80,87,72,88,4,3,yes,yes,Computer Architecture,Sales and Marketing,Management,Solutions Architect
83,88,76,72,67,87,80,6,9,no,yes,parallel computing,Testing and Maintainance Services,Management,Information Security Analyst
69,94,84,84,89,68,85,2,6,no,yes,parallel computing,Testing and Maintainance Services,Management,Portal Administrator
67,92,93,88,76,78,63,6,7,yes,yes,IOT,Service Based,Management,Network Security Administrator
69,85,88,77,77,65,75,2,4,no,yes,data engineering,Service Based,Management,Design & UX
89,88,88,69,94,64,92,6,1,yes,no,data engineering,Sales and Marketing,Technical,Software Systems Engineer
74,94,79,80,74,80,83,2,9,no,no,data engineering,Service Based,Management,Software Quality Assurance (QA) / Testing
90,64,61,85,61,88,61,2,1,yes,no,cloud computing,Cloud Services,Technical,E-Commerce Analyst
64,93,74,83,72,91,93,1,7,yes,yes,data engineering,Web Services,Technical,UX Designer
61,82,76,68,89,63,71,9,3,no,yes,parallel computing,Product based,Management,Database Developer
80,81,73,81,72,73,78,5,2,no,no,cloud computing,SAaS services,Technical,Database Developer
80,84,92,94,88,69,65,8,1,yes,yes,IOT,Product based,Technical,Design & UX
60,91,67,60,82,86,89,1,2,no,yes,networks,Testing and Maintainance Services,Management,Applications Developer
60,83,75,89,73,90,64,4,1,yes,yes,networks,Testing and Maintainance Services,Technical,Programmer Analyst
66,88,67,75,75,75,71,7,8,yes,yes,IOT,Cloud Services,Technical,Technical Engineer
87,71,82,68,66,70,87,2,7,no,no,hacking,Web Services,Technical,Quality Assurance Associate
90,78,83,88,82,81,62,6,5,no,yes,networks,Web Services,Technical,Software Developer
80,82,69,91,72,74,79,7,1,no,yes,hacking,Testing and Maintainance Services,Management,Mobile Applications Developer
88,69,65,68,62,68,66,3,5,no,no,Software Engineering,BPA,Management,Software Developer
82,76,86,80,86,79,83,3,4,yes,no,programming,BPA,Management,Solutions Architect
89,61,77,61,93,84,61,6,1,yes,yes,networks,Product based,Management,Technical Support
64,87,82,74,69,68,87,7,5,no,yes,data engineering,Web Services,Technical,Information Security Analyst
83,86,89,76,79,94,83,3,9,yes,no,hacking,Finance,Technical,Applications Developer
82,60,85,78,69,80,86,2,4,no,yes,Software Engineering,Sales and Marketing,Management,Business Intelligence Analyst
77,69,86,91,66,79,92,5,1,no,yes,programming,Testing and Maintainance Services,Technical,Network Engineer
76,75,69,91,88,71,62,3,6,yes,yes,cloud computing,Product based,Technical,CRM Technical Developer
80,61,74,69,76,94,88,1,5,no,no,IOT,Web Services,Technical,Information Technology Manager
85,61,85,92,77,80,63,8,8,no,no,IOT,product development,Management,Network Security Administrator
77,82,86,66,79,60,89,9,8,no,yes,networks,product development,Management,Quality Assurance Associate
76,63,62,84,80,76,61,9,2,no,no,parallel computing,Service Based,Technical,UX Designer
79,80,64,93,65,88,71,6,2,yes,yes,parallel computing,Finance,Management,Technical Support
81,86,74,81,87,69,79,2,5,no,no,Management,Product based,Management,Technical Support
68,89,83,62,78,72,64,1,7,yes,yes,Management,BPA,Management,CRM Business Analyst
62,87,60,92,62,91,87,2,2,yes,yes,cloud computing,BPA,Technical,Information Technology Manager
91,68,76,60,72,70,60,8,8,yes,yes,programming,BPA,Management,Network Security Administrator
77,94,85,94,85,86,64,9,5,no,yes,programming,Finance,Technical,Technical Engineer
85,92,83,78,85,78,92,9,3,no,yes,Computer Architecture,BPA,Management,Project Manager
74,71,85,77,60,79,69,9,2,no,no,programming,Web Services,Management,CRM Technical Developer
71,90,76,76,67,93,89,6,3,yes,yes,hacking,Product based,Technical,Applications Developer
61,77,69,68,91,75,60,2,8,no,no,cloud computing,Finance,Technical,Web Developer
68,82,85,85,65,78,63,6,3,no,no,hacking,Sales and Marketing,Technical,Network Security Administrator
88,92,71,76,71,83,76,3,6,yes,no,Computer Architecture,Service Based,Management,Systems Security Administrator
62,66,91,69,75,71,75,6,2,no,yes,programming,Finance,Management,Information Technology Auditor
60,61,84,79,75,63,79,9,1,yes,no,hacking,BPA,Management,Information Security Analyst
65,90,85,92,76,91,65,9,6,no,yes,data engineering,product development,Technical,Network Security Administrator
75,67,60,81,91,81,69,4,6,no,yes,parallel computing,Product based,Management,Business Intelligence Analyst
61,62,78,66,77,93,77,9,5,yes,no,IOT,Service Based,Technical,E-Commerce Analyst
65,61,87,77,69,94,66,2,5,yes,no,data engineering,SAaS services,Technical,E-Commerce Analyst
77,90,62,79,92,67,85,1,9,yes,yes,hacking,Product based,Management,Business Intelligence Analyst
89,88,90,78,80,64,85,8,4,yes,no,Software Engineering,product development,Technical,Project Manager
86,66,82,72,68,94,84,7,2,yes,no,Software Engineering,Product based,Technical,Systems Analyst
79,72,91,78,63,62,62,2,6,yes,no,hacking,BPA,Technical,Network Security Engineer
64,61,76,68,62,78,92,2,7,yes,yes,cloud computing,Service Based,Management,Network Security Administrator
92,62,89,65,88,86,74,8,9,yes,no,parallel computing,BPA,Management,Design & UX
61,85,90,70,90,86,83,9,3,yes,no,networks,Finance,Management,Data Architect
63,68,80,61,79,81,70,1,8,yes,yes,cloud computing,Product based,Technical,E-Commerce Analyst
68,72,73,77,61,81,77,4,9,no,yes,hacking,Testing and Maintainance Services,Management,Database Administrator
66,74,87,78,60,93,85,8,2,yes,no,parallel computing,Finance,Management,Software Developer
77,62,90,86,84,76,85,4,1,yes,no,IOT,SAaS services,Management,Software Engineer
84,63,77,70,62,76,68,7,2,no,no,Computer Architecture,Web Services,Management,Technical Engineer
78,76,87,63,66,83,67,9,5,no,no,programming,Product based,Management,Business Intelligence Analyst
94,81,66,64,69,84,64,5,9,no,no,Management,Testing and Maintainance Services,Management,Software Developer
74,65,64,92,87,94,81,8,4,no,no,programming,BPA,Management,Network Security Administrator
76,88,88,76,65,71,82,7,3,no,yes,data engineering,Web Services,Management,Portal Administrator
66,63,94,75,65,82,71,6,1,no,no,programming,Product based,Management,Network Security Engineer
66,88,69,77,63,67,94,3,1,no,no,parallel computing,Finance,Management,Database Developer
62,61,65,91,83,72,72,3,8,yes,yes,hacking,Cloud Services,Technical,CRM Business Analyst
86,65,83,91,63,90,62,9,1,no,no,hacking,BPA,Management,Software Quality Assurance (QA) / Testing
88,89,75,75,68,82,85,9,4,yes,no,data engineering,Product based,Technical,Information Technology Auditor
89,73,94,94,85,83,74,4,5,yes,no,Computer Architecture,product development,Management,Business Systems Analyst
87,67,63,73,67,68,93,2,7,no,yes,Software Engineering,SAaS services,Management,Software Engineer
73,66,93,83,71,94,90,8,8,no,yes,Management,BPA,Technical,CRM Technical Developer
73,69,61,80,86,80,76,3,1,yes,no,Software Engineering,Web Services,Technical,Project Manager
65,92,81,68,71,72,66,8,5,yes,yes,parallel computing,product development,Technical,CRM Business Analyst
92,87,82,90,78,66,90,2,8,no,yes,Management,Cloud Services,Management,Programmer Analyst
64,85,64,80,82,76,82,3,5,yes,yes,cloud computing,product development,Management,CRM Business Analyst
70,66,66,94,63,66,82,6,2,no,no,IOT,SAaS services,Technical,Database Administrator
66,72,84,71,76,75,78,5,4,yes,no,networks,SAaS services,Management,Portal Administrator
75,71,78,67,76,93,87,3,3,no,no,programming,Service Based,Technical,Solutions Architect
83,77,88,85,67,84,66,7,3,yes,yes,cloud computing,Testing and Maintainance Services,Technical,Quality Assurance Associate
63,88,93,60,62,74,90,7,9,no,no,Computer Architecture,Service Based,Technical,Software Systems Engineer
66,85,93,69,74,93,63,6,5,yes,yes,hacking,BPA,Technical,Solutions Architect
88,81,89,67,68,80,80,3,4,no,no,hacking,Sales and Marketing,Management,Information Security Analyst
93,93,86,83,65,78,60,5,1,no,no,IOT,Cloud Services,Management,CRM Technical Developer
80,61,83,85,88,88,86,3,3,yes,yes,IOT,Finance,Management,Technical Engineer
71,74,75,79,69,70,76,9,8,yes,yes,Software Engineering,Product based,Management,Technical Engineer
63,78,70,93,60,70,77,8,9,yes,yes,networks,Finance,Technical,Software Engineer
78,88,87,67,83,89,78,7,1,no,yes,programming,BPA,Management,Web Developer
76,71,88,78,87,66,78,7,9,no,yes,networks,Service Based,Technical,Data Architect
89,71,94,72,73,84,90,8,5,no,no,data engineering,Finance,Management,Systems Analyst
82,75,66,83,72,72,85,9,6,no,yes,programming,Web Services,Technical,Network Security Administrator
86,86,80,64,94,87,75,4,9,no,no,networks,BPA,Technical,Technical Engineer
84,63,78,72,69,67,90,9,8,no,no,cloud computing,Sales and Marketing,Technical,Portal Administrator
89,83,64,74,70,70,60,6,4,no,no,networks,SAaS services,Management,Network Security Engineer
91,76,67,67,64,77,72,4,5,yes,yes,Software Engineering,Web Services,Management,CRM Business Analyst
89,81,63,69,70,72,81,8,7,no,no,programming,Testing and Maintainance Services,Management,UX Designer
94,78,65,85,65,90,65,1,8,no,no,networks,Service Based,Management,Technical Engineer
74,84,75,92,80,89,91,8,2,no,no,Computer Architecture,Cloud Services,Management,Project Manager
68,87,67,94,75,78,87,9,4,yes,yes,hacking,Sales and Marketing,Management,Network Engineer
93,70,68,88,69,81,75,7,7,no,yes,parallel computing,BPA,Technical,Business Systems Analyst
60,60,60,70,79,93,77,8,3,yes,no,Software Engineering,Web Services,Management,Technical Support
60,64,73,68,64,91,67,9,9,no,no,cloud computing,Sales and Marketing,Management,Technical Support
78,81,64,87,80,84,86,5,8,yes,no,networks,Sales and Marketing,Management,Network Engineer
64,78,81,81,70,93,69,2,4,yes,no,data engineering,Web Services,Technical,Portal Administrator
84,80,65,86,66,73,81,7,2,no,no,IOT,Cloud Services,Technical,CRM Business Analyst
66,79,64,61,72,80,60,2,4,yes,no,programming,Product based,Technical,Network Security Engineer
85,90,66,61,68,93,79,3,4,yes,no,data engineering,Service Based,Management,Mobile Applications Developer
80,87,73,62,62,69,85,7,2,yes,yes,Management,product development,Technical,Project Manager
79,68,84,60,87,87,90,3,7,no,yes,data engineering,Cloud Services,Technical,Software Systems Engineer
91,75,84,67,79,83,66,9,5,yes,no,data engineering,Finance,Management,Web Developer
72,63,65,85,79,60,65,6,5,yes,no,Computer Architecture,Sales and Marketing,Management,Database Manager
94,78,60,75,85,80,66,1,7,no,yes,Management,Service Based,Management,Network Engineer
94,81,62,75,60,62,61,4,6,yes,no,Computer Architecture,Testing and Maintainance Services,Management,Technical Support
72,76,86,88,74,80,82,3,2,no,yes,networks,Service Based,Technical,Technical Services/Help Desk/Tech Support
68,70,63,68,74,81,93,1,8,no,no,IOT,Sales and Marketing,Technical,Network Engineer
60,79,89,87,80,67,79,1,3,yes,yes,hacking,Sales and Marketing,Technical,Network Security Engineer
88,71,60,80,86,71,84,3,7,no,yes,Software Engineering,Testing and Maintainance Services,Technical,Network Engineer
76,76,80,66,76,68,91,2,2,yes,no,Management,Testing and Maintainance Services,Management,Database Manager
61,71,80,81,86,86,73,5,6,no,yes,programming,Web Services,Technical,Technical Engineer
65,90,64,71,83,71,77,4,8,no,yes,cloud computing,Finance,Management,Software Engineer
87,82,80,86,69,80,85,9,6,no,no,Software Engineering,Web Services,Technical,E-Commerce Analyst
62,87,60,77,80,79,66,8,9,no,yes,programming,Service Based,Technical,Technical Services/Help Desk/Tech Support
71,65,67,69,82,63,90,7,4,no,yes,Management,Testing and Maintainance Services,Technical,Business Intelligence Analyst
68,68,63,87,75,79,65,2,2,no,yes,networks,Web Services,Technical,Network Security Administrator
90,93,83,86,92,68,80,7,1,no,yes,data engineering,Testing and Maintainance Services,Management,Software Developer
81,67,85,60,74,71,65,6,8,no,no,IOT,BPA,Technical,Network Security Administrator
94,87,72,79,61,71,88,9,5,no,yes,Management,Sales and Marketing,Technical,Database Manager
73,67,89,68,76,92,90,5,9,no,no,Software Engineering,BPA,Technical,Information Security Analyst
86,78,88,69,71,60,88,7,6,yes,yes,parallel computing,Finance,Technical,Software Engineer
86,93,63,71,67,63,79,1,5,yes,yes,data engineering,Sales and Marketing,Management,Business Systems Analyst
80,63,64,60,89,81,85,5,7,no,no,networks,Service Based,Management,Portal Administrator
94,70,87,83,90,61,61,2,2,yes,no,Computer Architecture,SAaS services,Management,Design & UX
86,60,61,80,88,63,89,4,9,no,no,cloud computing,Finance,Management,Mobile Applications Developer
73,94,88,72,72,71,81,8,5,yes,no,hacking,Cloud Services,Technical,Network Security Administrator
88,80,94,69,65,68,61,5,9,no,yes,Computer Architecture,BPA,Technical,Applications Developer
78,61,75,68,87,60,64,7,7,yes,no,Software Engineering,product development,Technical,Solutions Architect
94,68,82,78,91,76,83,6,5,no,yes,Software Engineering,SAaS services,Technical,UX Designer
94,88,61,92,82,76,72,4,7,yes,yes,parallel computing,SAaS services,Management,Information Security Analyst
67,66,77,82,94,80,66,6,8,no,yes,Computer Architecture,Service Based,Management,Portal Administrator
64,81,72,62,68,90,77,1,3,no,yes,Software Engineering,SAaS services,Management,UX Designer
76,87,61,80,94,78,87,9,7,yes,yes,Computer Architecture,Finance,Management,Software Engineer
89,63,91,82,88,92,73,1,5,yes,no,data engineering,Sales and Marketing,Technical,Database Administrator
83,94,92,78,70,80,84,6,5,yes,no,networks,Sales and Marketing,Management,Systems Security Administrator
68,75,64,87,66,60,63,5,8,no,yes,Software Engineering,product development,Management,Project Manager
65,71,72,66,74,80,88,8,4,no,yes,programming,Cloud Services,Management,UX Designer
87,88,79,67,92,63,76,6,7,no,no,hacking,Finance,Technical,Portal Administrator
81,63,61,70,85,76,60,1,5,no,yes,parallel computing,Product based,Management,Database Manager
83,88,87,64,66,91,66,7,7,yes,yes,Software Engineering,Web Services,Management,Applications Developer
68,90,87,88,66,80,74,9,4,no,yes,Software Engineering,Service Based,Technical,Information Technology Auditor
61,70,73,86,63,78,64,9,6,no,yes,parallel computing,Cloud Services,Management,Technical Support
68,65,93,94,71,94,86,1,3,yes,yes,Software Engineering,BPA,Technical,E-Commerce Analyst
71,75,63,74,73,89,73,2,2,no,no,parallel computing,Testing and Maintainance Services,Technical,Applications Developer
85,67,87,75,85,77,62,3,9,no,yes,IOT,Sales and Marketing,Management,Information Technology Manager
79,78,85,83,74,89,87,3,5,no,yes,hacking,BPA,Management,E-Commerce Analyst
94,63,73,73,78,63,63,9,7,no,no,Computer Architecture,Web Services,Technical,Systems Security Administrator
80,62,68,90,83,92,71,6,4,yes,yes,Software Engineering,Sales and Marketing,Technical,Solutions Architect
64,83,84,63,83,89,79,3,4,yes,yes,IOT,BPA,Technical,Software Systems Engineer
74,63,66,66,80,89,77,4,9,yes,yes,data engineering,SAaS services,Technical,Applications Developer
67,84,77,66,83,74,78,6,2,yes,no,programming,SAaS services,Management,CRM Business Analyst
69,60,69,94,78,61,68,9,5,yes,no,data engineering,product development,Management,Database Manager
84,70,90,78,66,63,62,6,9,no,yes,programming,SAaS services,Management,Software Systems Engineer
85,71,67,67,87,75,64,6,2,yes,no,networks,Service Based,Management,Systems Analyst
84,62,93,80,71,74,74,7,7,yes,no,cloud computing,product development,Management,Network Engineer
65,80,80,71,69,70,78,9,3,no,no,IOT,Finance,Technical,CRM Technical Developer
86,68,63,83,63,60,89,8,3,yes,yes,parallel computing,product development,Technical,Mobile Applications Developer
69,72,83,72,60,78,92,9,7,yes,no,Software Engineering,Sales and Marketing,Management,Technical Services/Help Desk/Tech Support
74,88,71,71,90,94,61,1,8,no,yes,parallel computing,Service Based,Technical,Portal Administrator
78,86,62,68,60,86,88,3,9,yes,no,cloud computing,Sales and Marketing,Technical,Database Manager
62,60,92,78,70,77,60,4,7,no,yes,parallel computing,Product based,Technical,Network Security Administrator
84,61,66,89,93,64,78,8,3,no,no,hacking,Testing and Maintainance Services,Management,CRM Business Analyst
69,93,73,84,69,71,94,5,1,no,yes,Software Engineering,Service Based,Management,Systems Analyst
73,92,85,86,81,65,66,9,8,yes,yes,hacking,BPA,Management,Network Security Engineer
92,65,80,73,64,70,62,4,4,no,no,Management,Product based,Management,Quality Assurance Associate
81,62,70,86,84,79,66,3,4,no,yes,cloud computing,Cloud Services,Management,Quality Assurance Associate
94,87,81,66,93,63,92,6,3,yes,yes,Computer Architecture,Service Based,Management,Information Security Analyst
69,63,62,94,64,93,84,8,8,yes,yes,parallel computing,product development,Management,Solutions Architect
85,68,83,82,90,86,73,8,6,yes,yes,Software Engineering,Service Based,Technical,Software Quality Assurance (QA) / Testing
64,94,91,79,60,90,63,1,1,no,yes,hacking,Sales and Marketing,Technical,Business Intelligence Analyst
94,79,84,82,62,62,72,9,7,yes,yes,data engineering,SAaS services,Technical,Quality Assurance Associate
83,77,73,92,87,70,71,2,4,yes,no,programming,Service Based,Management,Network Security Engineer
83,94,63,68,71,66,79,6,3,yes,yes,parallel computing,Finance,Management,Technical Engineer
70,73,80,82,79,69,78,8,6,no,no,networks,Web Services,Management,Web Developer
80,85,79,94,64,93,71,1,9,yes,yes,Computer Architecture,product development,Technical,Quality Assurance Associate
84,64,64,85,74,63,74,4,1,yes,no,parallel computing,Service Based,Technical,Business Intelligence Analyst
79,90,89,80,78,73,74,2,9,no,yes,IOT,product development,Technical,Business Systems Analyst
75,94,86,93,66,71,82,6,7,no,yes,hacking,Finance,Management,Software Developer
91,80,85,89,70,78,92,3,6,no,no,Computer Architecture,SAaS services,Management,E-Commerce Analyst
62,84,60,81,76,87,93,8,2,yes,yes,Management,BPA,Management,E-Commerce Analyst
60,84,84,66,64,62,69,8,2,yes,yes,hacking,Cloud Services,Technical,Technical Services/Help Desk/Tech Support
88,83,81,62,86,74,62,1,8,yes,yes,programming,Product based,Management,Quality Assurance Associate
91,89,93,68,86,64,93,1,4,no,yes,data engineering,Sales and Marketing,Management,UX Designer
89,76,71,76,90,61,63,2,5,no,yes,IOT,Web Services,Management,Technical Support
87,69,84,73,85,73,81,5,4,no,no,networks,Testing and Maintainance Services,Management,Programmer Analyst
93,87,60,83,86,67,67,6,2,yes,yes,programming,Finance,Management,Database Administrator
73,65,77,63,88,77,71,8,3,yes,no,Software Engineering,product development,Management,Technical Services/Help Desk/Tech Support
63,85,61,62,86,71,74,7,6,no,no,IOT,Sales and Marketing,Technical,CRM Business Analyst
71,69,73,92,90,64,92,9,7,no,yes,cloud computing,Sales and Marketing,Management,Web Developer
63,82,85,90,74,67,72,7,2,yes,no,data engineering,BPA,Technical,Programmer Analyst
73,81,91,75,85,80,85,4,9,no,yes,IOT,BPA,Technical,CRM Technical Developer
86,86,81,89,64,66,66,6,4,no,no,parallel computing,product development,Technical,Software Quality Assurance (QA) / Testing
77,68,85,73,60,77,93,9,4,yes,yes,data engineering,Web Services,Technical,Information Security Analyst
68,88,76,74,79,74,89,7,2,yes,yes,networks,Service Based,Technical,Information Technology Manager
65,78,73,83,68,70,89,2,5,yes,yes,hacking,BPA,Management,Solutions Architect
62,81,79,79,84,94,94,7,5,no,yes,networks,Web Services,Technical,Information Technology Manager
81,74,93,92,79,68,91,1,8,no,yes,parallel computing,BPA,Technical,CRM Technical Developer
67,84,92,81,83,73,77,6,6,no,yes,Management,SAaS services,Management,CRM Business Analyst
72,68,71,82,62,80,85,6,3,no,no,parallel computing,Sales and Marketing,Management,Applications Developer
